,2007-10-21 00:00:00+00:00,2007-10-28 00:00:00+00:00,2007-11-04 00:00:00+00:00,2007-11-11 00:00:00+00:00,2007-11-18 00:00:00+00:00,2007-11-25 00:00:00+00:00,2007-12-02 00:00:00+00:00,2007-12-09 00:00:00+00:00,2007-12-16 00:00:00+00:00,2007-12-23 00:00:00+00:00,2007-12-30 00:00:00+00:00,2008-01-06 00:00:00+00:00,2008-01-13 00:00:00+00:00,2008-01-20 00:00:00+00:00,2008-01-27 00:00:00+00:00,2008-02-03 00:00:00+00:00,2008-02-10 00:00:00+00:00,2008-02-17 00:00:00+00:00,2008-02-24 00:00:00+00:00,2008-03-02 00:00:00+00:00,2008-03-09 00:00:00+00:00,2008-03-16 00:00:00+00:00,2008-03-23 00:00:00+00:00,2008-03-30 00:00:00+00:00,2008-04-06 00:00:00+00:00,2008-04-13 00:00:00+00:00,2008-04-20 00:00:00+00:00,2008-04-27 00:00:00+00:00,2008-05-04 00:00:00+00:00,2008-05-11 00:00:00+00:00,2008-05-18 00:00:00+00:00,2008-05-25 00:00:00+00:00,2008-06-01 00:00:00+00:00,2008-06-08 00:00:00+00:00,2008-06-15 00:00:00+00:00,2008-06-22 00:00:00+00:00,2008-06-29 00:00:00+00:00,2008-07-06 00:00:00+00:00,2008-07-13 00:00:00+00:00,2008-07-20 00:00:00+00:00,2008-07-27 00:00:00+00:00,2008-08-03 00:00:00+00:00,2008-08-10 00:00:00+00:00
Equity(0 [A]),37.3,36.03,36.02,33.39,36.72,36.91,37.83,38.01,36.31,37.19,37.49,34.77,36.0,33.66,33.19,34.46,32.0,30.65,31.41,30.61,30.07,29.64,29.66,29.58,31.71,30.13,30.97,31.53,32.07,31.9,35.09,35.93,37.39,36.51,37.31,37.57,35.59,34.73,35.69,35.57,36.21,35.86,35.34
Equity(8 [AAPL]),170.42,184.7,187.87,165.37,166.39,171.54,182.22,194.3,190.39,193.91,199.83,180.05,172.69,161.36,130.009,133.75,125.48,124.63,119.46,125.02,122.25,126.61,133.27,143.01,153.08,147.14,161.04,169.73,180.94,183.45,187.62,181.17,188.75,185.64,172.37,175.27,170.09,170.12,172.58,165.15,162.12,156.66,153.23
Equity(13 [ABC]),44.04,44.309,43.652,43.493,44.823,43.737,45.212,45.73,42.681,44.395,45.341,43.647,47.145,46.427,44.813,46.467,45.172,43.541,42.992,41.644,41.055,39.109,41.355,40.915,40.835,39.278,40.696,40.855,41.375,41.115,41.13,41.14,41.33,41.12,40.98,39.78,39.21,39.04,38.36,37.86,42.19,42.04,41.82
Equity(2590 [SLB]),98.681,98.87,98.184,94.15,92.859,93.505,92.849,96.746,94.138,94.208,98.349,97.552,93.581,79.157,77.345,77.922,77.017,83.905,85.273,86.27,85.432,83.726,80.473,85.482,91.18,90.422,101.639,102.527,99.423,104.792,105.091,99.822,100.92,101.94,99.69,104.1,105.9,101.88,99.16,100.55,98.96,100.2,94.41
Equity(2592 [SLG]),111.263,115.936,111.01,108.518,104.79,98.492,101.14,99.796,92.719,94.306,89.441,85.221,83.219,81.609,86.83,96.928,85.731,86.241,87.37,89.794,82.846,78.243,81.286,80.618,87.705,84.622,86.912,93.166,98.022,93.909,99.053,92.869,98.815,94.236,93.106,86.654,82.55,81.96,82.09,81.4,83.0,80.94,79.67
Equity(2595 [SLM]),47.17,47.51,44.9,39.93,39.05,38.76,38.08,36.12,26.69,19.85,19.65,16.67,20.18,18.85,19.88,23.0,20.75,21.98,22.32,19.61,18.43,16.63,15.78,15.16,18.49,17.85,17.2,17.8,21.75,21.7,21.0,23.63,22.67,22.06,23.85,22.84,19.48,18.45,15.99,17.97,17.0,17.2,17.15
Equity(20 [ABT]),50.462,53.083,53.064,53.132,54.202,54.477,56.46,57.157,56.46,57.197,56.186,54.772,59.719,58.663,54.764,56.807,56.067,54.833,53.836,52.859,50.381,50.717,54.941,52.385,54.132,52.469,50.402,50.958,52.836,51.455,54.367,53.919,55.996,54.416,53.77,53.015,52.667,54.406,56.43,57.58,57.42,56.07,57.26
Equity(2598 [SM]),40.992,42.569,43.449,42.14,40.502,41.281,39.254,41.291,41.91,38.105,39.114,37.865,37.256,34.379,33.81,34.839,34.519,35.138,34.679,36.836,35.198,35.628,34.09,38.045,38.934,38.704,43.029,43.788,45.3,48.29,50.31,50.16,50.96,53.12,58.83,62.08,63.36,58.55,57.43,47.27,44.39,43.11,38.43
Equity(22 [ACAS]),37.924,38.39,37.805,35.081,35.575,34.542,34.377,34.706,33.316,32.076,31.183,29.144,29.999,26.964,29.868,33.626,31.672,32.235,33.654,34.096,32.467,33.192,35.213,33.521,33.463,32.603,31.259,30.079,30.948,30.446,31.732,30.379,30.94,29.924,29.15,27.15,24.95,22.44,21.02,21.11,21.24,20.25,19.91
Equity(2610 [SNDK]),42.71,41.02,44.43,38.95,37.36,36.11,37.44,38.65,36.34,35.67,33.54,30.42,28.58,27.74,25.62,27.55,26.61,25.37,25.649,23.55,21.41,22.15,20.55,21.26,25.84,26.4,27.4,26.84,29.19,29.18,32.439,28.26,28.31,27.6,24.02,21.16,19.23,18.43,16.56,17.57,13.66,14.36,14.43
Equity(33 [ACI]),35.136,40.77,38.968,37.923,35.007,35.554,37.756,40.05,39.9,43.5,44.597,41.197,39.062,35.522,41.117,49.195,51.279,49.264,53.273,51.015,48.07,45.064,40.421,44.225,48.859,52.104,58.285,57.905,59.163,65.265,64.775,62.808,64.91,72.79,71.5,73.42,73.41,63.7,66.66,53.13,55.64,54.21,48.51
Equity(37 [ACN]),39.27,39.2,38.4,34.86,36.79,35.16,34.56,35.44,34.0,38.0,36.88,34.91,32.79,33.77,33.86,35.04,33.95,34.56,34.03,35.25,33.75,33.35,34.61,35.32,36.77,36.51,39.3,38.94,39.07,37.75,38.28,37.03,40.82,39.88,39.19,39.12,41.34,40.41,39.07,39.39,40.58,41.55,41.4
Equity(2619 [SNV]),10.576,10.8,10.27,10.357,9.818,9.855,10.311,10.506,9.821,10.137,9.888,10.546,11.408,10.526,11.417,13.064,12.008,11.601,11.814,11.166,10.914,11.369,12.614,10.738,10.718,10.63,11.416,11.602,12.368,11.602,12.005,11.789,11.288,10.394,9.372,8.84,9.06,8.63,8.22,9.44,9.2,9.66,9.7
Equity(2621 [SO]),33.833,34.597,34.517,34.643,35.774,36.759,36.353,37.59,37.194,37.88,37.832,37.407,38.421,36.469,34.875,36.447,34.933,34.962,34.708,33.741,33.506,33.663,35.304,34.562,35.675,35.47,36.105,36.252,36.675,35.865,36.31,35.578,35.776,34.511,34.679,34.086,34.027,34.906,35.569,34.432,34.719,34.59,35.3
Equity(45 [ADBE]),46.27,47.0,47.88,43.24,42.19,41.91,42.14,44.37,42.11,42.18,42.93,40.36,38.05,35.33,34.84,34.48,33.19,34.67,35.09,33.65,32.549,32.61,34.45,35.33,36.97,35.98,36.27,36.89,40.38,39.89,42.26,41.25,44.06,42.3,42.71,40.55,39.8,40.39,39.24,41.98,40.9,41.22,41.29
Equity(48 [ADI]),34.0,32.429,32.302,31.811,32.017,30.593,30.22,30.924,31.734,31.467,31.171,28.771,26.193,27.2,27.378,28.741,27.428,27.586,27.842,26.588,27.212,27.47,28.186,28.793,30.493,30.165,31.477,32.014,33.127,33.943,35.255,33.615,35.11,34.8,33.93,33.25,31.7,30.71,30.34,31.65,30.11,30.2,30.15
Equity(49 [ADM]),34.583,34.741,34.523,36.594,37.545,35.378,36.134,38.321,38.837,44.007,46.81,45.577,43.38,40.657,41.859,45.229,41.164,43.997,44.446,44.965,44.875,43.718,40.059,42.153,42.402,42.901,46.33,47.168,43.808,42.552,43.35,43.17,39.7,37.2,32.61,32.67,32.92,31.17,30.29,29.92,29.66,28.16,27.4
Equity(52 [ADP]),46.56,45.629,47.687,45.786,46.207,44.806,44.15,44.63,44.314,44.344,44.087,40.429,40.508,38.999,38.21,39.413,37.372,39.187,40.143,39.394,38.664,39.105,40.675,41.509,43.595,41.698,43.525,43.784,42.8,42.81,43.575,41.529,42.761,42.105,43.14,42.6,41.64,42.08,41.47,42.6,41.09,42.95,43.43
Equity(53 [ADS]),80.6,80.41,80.1,77.26,77.74,77.46,77.7,78.25,76.46,74.7,73.67,72.0,68.25,61.93,65.6,53.9,55.02,55.4,51.36,50.63,45.5,46.63,52.22,47.38,48.48,47.9,52.84,56.06,58.83,59.11,59.94,56.55,60.04,57.96,60.78,60.5,55.98,54.19,51.79,59.6,62.26,64.68,64.14
Equity(54 [ADSK]),46.96,47.65,48.81,46.16,46.41,45.79,47.09,48.2,49.56,50.99,50.26,45.7,43.18,41.24,41.3,41.96,38.94,38.15,38.6,31.09,31.61,34.08,32.0,31.77,33.83,31.99,33.27,39.38,39.42,39.1,40.74,38.75,41.16,40.51,38.54,36.88,34.03,33.96,33.05,36.01,32.759,33.67,32.77
Equity(2631 [SPG]),92.557,94.603,95.266,89.108,91.372,87.922,95.383,94.578,89.308,87.293,84.377,77.081,79.474,75.763,83.892,92.524,81.247,82.742,84.083,82.047,82.36,85.46,94.172,91.516,99.375,96.114,101.565,103.666,102.863,98.641,103.5,97.52,99.36,97.72,98.09,95.09,90.82,87.72,86.34,90.51,90.59,91.32,90.31
Equity(2634 [SPLS]),21.237,22.016,21.592,20.635,20.793,20.271,23.366,24.254,22.321,22.814,22.716,20.971,20.418,21.227,22.233,23.593,22.686,21.73,23.248,21.937,21.434,20.576,22.548,22.41,23.25,21.8,22.51,22.44,23.35,21.5,23.83,22.67,23.45,23.23,25.49,24.61,23.96,23.34,21.01,22.55,22.38,22.65,22.91
Equity(2635 [SPN]),32.049,33.9,37.75,37.37,36.42,35.74,34.9,35.4,34.69,34.72,34.31,42.95,43.29,39.84,39.81,40.28,39.9,42.29,43.47,40.69,38.73,37.53,34.9,39.15,40.92,42.53,46.39,45.1,47.33,52.6,53.87,52.57,53.69,55.25,54.7,54.93,54.46,51.05,51.15,50.23,48.76,48.67,45.73
Equity(66 [AEO]),22.283,22.617,22.155,21.222,21.762,21.664,22.489,21.821,19.915,20.809,20.288,18.688,17.474,19.439,21.186,23.22,21.374,21.008,21.838,21.097,16.724,17.0,17.8,16.963,18.362,16.109,16.566,17.826,18.531,17.796,18.164,17.102,18.084,16.546,16.437,16.0,13.429,13.27,12.13,14.44,14.29,13.87,13.46
Equity(67 [AEP]),44.397,46.382,46.158,45.517,45.546,45.586,46.783,48.255,46.498,46.665,46.008,45.429,47.068,43.986,40.561,43.142,42.761,42.701,41.909,40.541,40.264,39.858,40.452,40.591,42.503,43.761,44.257,43.87,44.673,43.87,43.41,42.13,42.33,41.96,42.79,41.34,39.58,39.56,40.12,39.47,39.66,38.77,39.06
Equity(70 [AES]),20.23,20.9,21.67,21.82,21.85,21.16,21.85,21.94,21.6,21.98,21.66,21.14,21.11,18.22,18.22,19.46,19.14,19.29,18.87,17.98,17.78,17.6,16.079,16.32,17.06,17.25,18.0,17.99,18.0,19.11,19.85,18.92,19.48,19.34,20.12,19.56,18.8,18.77,17.59,16.77,16.16,15.53,14.96
Equity(71 [AET]),52.811,55.839,54.34,54.58,54.92,54.14,55.88,58.93,57.85,58.55,57.87,55.97,58.41,56.09,52.6,53.22,50.7,50.84,50.13,49.6,46.94,43.72,43.09,42.54,42.07,41.02,41.79,43.91,42.99,43.25,43.56,45.61,47.16,46.48,44.5,40.95,40.31,37.14,36.23,35.22,39.22,39.96,41.97
Equity(2645 [SPWR]),95.56,117.4,123.85,128.699,117.39,105.97,124.44,133.61,128.19,129.02,131.05,126.12,108.68,74.75,73.29,73.14,66.37,79.44,69.5,65.72,60.0,60.78,61.03,73.63,90.4,87.76,89.33,86.29,82.1,82.3,93.5,85.19,81.84,79.33,77.75,81.36,72.71,64.319,71.83,76.7,73.49,76.42,73.26
Equity(77 [AFL]),56.055,61.189,61.673,58.488,60.211,61.362,62.176,61.243,59.725,61.799,62.027,61.898,64.797,59.159,60.449,60.251,59.556,61.959,62.975,62.188,61.471,60.992,63.922,64.09,64.867,65.974,67.639,67.479,66.901,65.476,67.23,66.16,67.13,65.44,67.41,65.5,63.05,62.41,60.72,60.41,54.9,55.0,54.58
Equity(2653 [SRE]),57.147,59.005,60.144,58.955,59.063,59.525,61.53,62.483,60.115,61.943,61.488,59.503,61.795,56.59,53.42,56.274,54.921,54.852,53.775,52.472,51.454,52.126,49.215,52.654,53.966,54.681,56.888,56.689,58.438,56.808,58.826,57.186,57.454,55.914,56.053,55.37,55.22,56.26,55.9,54.61,54.48,55.12,54.83
