,亚洲ETF-iShares MSCI,MSCI全球ETF-iShares,iShares MSCI ACWI ex US ETF,债券指数ETF-iShares Barclays综合国债,Alerian MLP ETF,债券指数ETF-Vanguard美国,短期国债指数ETF-Vanguard,道琼斯指数ETF,三倍做空黄金矿业指数ETF-Direxion,日本股利指数ETF-WisdomTree,新兴市场ETF-iShares MSCI,iShares Edge MSCI Min Vol EAFE ETF,欧澳远东指数 ETF-iShares MSCI,iShares JPMorgan USD Emerging Markets Bond ETF,印度收入指数ETF-WisdomTree,三倍做多能源ETF-Direxion,澳大利亚ETF-iShares MSCI,加拿大ETF-iShares MSCI,德国ETF-iShares MSCI,香港ETF-iShares MSCI,日本ETF-iShares MSCI,台湾ETF-iShares MSCI,墨西哥投资指数ETF-iShares MSCI,韩国ETF-iShares MSCI,巴西ETF-iShares MSCI,欧盟国家ETF-iShares MSCI,金融指数ETF-Direxion三倍做多罗素金融股,中国大盘股ETF-iShares,小型黄金矿业ETF(Market Vectors),黄金矿业ETF(Market Vectors),SPDR黄金ETF,债券指数ETF-iShares iBoxx高收益公司债,PIMCO 0-5 Year High YieldCorporate Bond Index ETF,黄金信托ETF(iShares),生物科技指数ETF-iShares Nasdaq,iShares Core MSCI EAFE ETF,债券指数ETF-iShares Barclays 7-10年,标普中型股400指数ETF-iShares,标普小型股600指数ETF-iShares,房屋建筑指数ETF-iShares Dow Jones,标普500价值指数ETF-iShares,标普500指数ETF,标普500成长股指数ETF-iShares,罗素1000指数ETF-iShares,罗素1000价值指数ETF-iShares,罗素1000成长指数ETF-iShares,罗素2000指数ETF,罗素2000价值股指数ETF-iShares,罗素2000成长股指数ETF,房地产指数ETF-iShares道琼斯,金矿指数三倍做空ETF,债券指数ETF-SPDR Barclays高收益债,金矿指数三倍做多ETF,银行指数ETF-SPDR KBW,区域银行指数ETF-SPDR KBW,债券指数ETF-iShares iBoxx投资级公司债,中国ETF-iShares MSCI,标普中型股400指数ETF-SPDR,三倍做多黄金矿业指数ETF-Direxion,标普100指数ETF-iShares,石油服务ETF,优先股指数ETF-iShares S&P,纳指两倍做空ETF,纳指两倍做多ETF,纳指ETF,平均加权指数ETF-Rydex S&P,俄罗斯ETF-Market Vectors,Schwab U.S. TIPs ETF,道指三倍做空ETF-ProShares,标普500两倍做空ETF,债券指数ETF-iShares Barclays 1-3年国,标普500反向ETF,白银ETF(iShares),半导体指数ETF-HOLDRs,三倍做多半导体ETF-Direxion Daily,iShares费城交易所半导体ETF,标普500三倍做空ETF,标普500指数ETF,纳指三倍做空ETF,标普500两倍做多ETF,0.5倍做空波动率指数短期期货ETF,债券20+美国债指数ETF-ProShares两倍做空,通胀债券指数ETF-iShares Barclays,债券20+美公债指数ETF-iShares Barcla,罗素2000指数三倍做多ETF-Direxion,纳指三倍做多ETF,罗素2000指数三倍做空ETF,二倍做多彭博原油ETF,道指三倍做多ETF-ProShares,三倍做多标普500ETF,美国原油ETF,1.5倍做多波动率指数短期期货ETF-ProShares,EAFE指数ETF-Vanguard MSCI,非美地区ETF-Vanguard FTSE,欧洲ETF-Vanguard MSCI,股利增长指数ETF-Vanguard,不动产信托指数ETF-Vanguard,Vanguard S&P 500 ETF,大盘指数ETF-Vanguard MSCI,Vanguard Value ETF,Vanguard Total World Stock ETF,成长股指数ETF-Vanguard MSCI,新兴市场ETF-Vanguard MSCI,SPDR S&P Biotech ETF,房屋建筑商指数ETF-SPDR,材料ETF,能源ETF,金融ETF,工业ETF,高科技指数ETF-SPDR,消费品指数ETF-SPDR主要消费品,公共事业指数ETF-SPDR,健康照护类股ETF-SPDR,消费品指数ETF-SPDR可选消费品,金属与采矿指数ETF-SPDR,油气开采指数ETF-SPDR S&P,零售指数ETF-SPDR标普
1496116800000,67.05,65.8,45.99,109.65,12.02,81.92,80.01,210.21,29.84,50.98,41.52,70.55,65.98,115.55,24.93,25.88,21.56,26.29,30.82,23.58,53.29,34.7,52.05,67.48,35.54,41.06,43.89,40.35,31.48,22.59,120.14,88.66,101.85,12.14,94.7667,61.54,107.27,171.77,68.38,32.5,103.77,243.08,137.82,134.33,114.66,119.25,136.46,115.25,163.3,78.82,80.84,37.4,16.66,41.42,52.26,120.11,54.22,313.31,33.46,106.98,25.85,38.99,66.72,60.865,141.34,91.84,20.32,55.62,32.81,51.28,84.61,33.67,16.47,86.09,96.89,148.01,63.68,241.5,30.29,88.65,77.32,36.66,114.65,124.09,50.97,35.4533,18.16,17.46,57.65,102.49,10.24,43.16,41.46,50.33,56.02,92.6,82.14,221.72,123.89,95.53,67.6,127.88,41.04,67.46,37.44,52.92,65.72,23.45,67.39,56.62,56.48,53.57,75.78,90.81,29.25,32.98,40.75
1496203200000,66.76,65.7,45.93,109.76,12.0,81.96,80.03,210.0,29.46,50.99,41.2,70.81,66.06,115.63,24.92,25.58,21.49,26.16,31.02,23.65,53.29,34.38,51.62,67.72,35.17,41.18,43.36,40.14,31.43,22.69,120.62,88.65,101.93,12.2,95.25,61.62,107.32,171.83,68.33,32.41,103.59,242.9,137.89,134.31,114.53,119.34,136.32,114.97,163.33,78.84,81.39,37.39,16.44,41.13,51.83,120.25,53.77,313.37,33.84,106.81,25.94,39.04,66.76,60.79,141.29,91.93,19.76,55.66,32.9,51.32,84.62,33.7,16.39,85.99,96.86,147.99,63.8,241.44,30.34,88.61,76.675,36.48,114.68,124.4,50.82,35.41,18.2,16.54,57.465,102.32,9.96,43.96,41.54,50.32,56.21,92.93,82.19,221.67,123.85,95.4,67.57,127.92,40.74,67.71,37.49,53.08,65.44,23.25,67.52,56.53,56.64,53.84,76.08,91.05,28.92,32.57,40.74
1496289600000,67.38,66.24,46.42,109.48,12.01,81.81,79.91,211.4,29.88,51.71,41.55,71.33,66.49,115.38,25.14,26.04,21.45,26.35,31.15,23.9,53.77,34.74,52.12,67.74,34.89,41.5,44.65,40.5,31.33,22.6,120.72,88.53,101.64,12.21,96.9633,62.1,107.1,174.56,69.52,32.86,104.6,244.89,138.68,135.4,115.58,120.27,138.95,117.13,166.61,79.16,81.93,37.26,16.4,41.74,52.75,119.96,54.43,318.31,33.26,107.5,26.18,38.87,66.2,61.32,141.84,92.88,19.62,55.58,32.31,50.52,84.54,33.44,16.38,86.15,97.1,148.14,62.36,243.36,29.95,89.94,78.495,36.5,114.37,124.15,53.72,35.8333,17.16,16.4,58.575,104.71,9.91,41.88,41.82,50.66,56.6,93.67,82.62,223.4,125.0,96.27,68.07,128.88,41.04,69.58,37.9,53.72,65.85,23.54,67.94,56.67,57.1,54.22,76.92,91.91,29.13,33.01,41.64
1496376000000,67.78,66.61,46.665,109.84,11.94,82.08,79.95,211.91,29.37,52.52,41.76,71.88,67.22,116.01,25.21,25.12,21.72,26.34,31.69,24.01,54.9,34.95,52.0,68.66,34.93,41.95,44.51,40.52,31.88,22.76,121.61,88.58,101.64,12.29,98.5967,62.76,107.57,174.78,69.97,33.33,104.52,245.67,139.62,135.85,115.54,121.1,139.85,117.52,168.06,79.94,77.75,37.28,17.06,41.4,52.36,120.52,54.47,318.74,33.8,107.93,25.87,38.98,64.8,62.65,143.46,93.01,19.69,55.74,32.02,50.24,84.6,33.32,16.59,86.82,99.99,149.65,61.8,244.17,28.94,90.53,78.325,35.63,114.83,125.62,54.78,37.0567,16.83,16.23,59.085,105.72,9.86,42.04,42.22,51.09,56.97,94.09,83.47,224.1,125.41,96.29,68.48,129.67,41.17,71.1,38.26,53.85,65.09,23.45,68.21,57.19,57.27,54.28,77.42,92.24,28.9,32.32,41.3
1496635200000,67.69,66.54,46.5,109.67,11.95,81.95,79.92,211.86,29.33,52.24,41.71,71.69,66.85,115.81,25.2,25.27,21.73,26.35,31.52,23.83,54.69,35.16,53.45,68.5,34.55,41.64,44.58,40.29,32.08,22.74,121.73,88.5,101.58,12.31,98.05,62.46,107.39,174.13,69.51,32.99,104.42,245.51,139.57,135.75,115.38,120.95,138.98,116.89,166.93,79.69,76.5,37.26,17.35,41.39,52.39,120.18,54.38,317.44,33.86,107.99,25.98,38.9,64.76,62.64,143.43,92.81,19.67,55.62,32.08,50.24,84.53,33.34,16.63,87.05,100.86,150.01,61.84,243.99,28.96,90.46,77.925,36.12,114.53,124.84,53.79,37.0267,17.15,15.97,58.79,105.58,9.8,42.32,42.04,50.92,56.59,93.92,83.11,223.95,125.25,96.27,68.33,129.57,41.17,70.66,38.01,53.68,65.21,23.49,67.97,57.24,57.33,54.11,77.2,91.99,29.21,32.22,41.29
1496721600000,67.84,66.37,46.4,109.89,11.99,82.1,79.99,211.37,25.2,51.69,41.73,71.69,66.66,116.05,25.16,26.17,21.49,26.49,31.27,24.1,54.73,35.12,53.24,68.5,34.96,41.42,44.04,40.55,34.04,23.8,123.1,88.36,101.61,12.45,97.6,62.23,107.73,173.53,69.41,32.87,104.16,244.85,139.14,135.32,115.18,120.51,138.85,116.62,166.99,79.29,62.5,37.21,20.4,41.19,52.02,120.53,54.63,316.27,38.74,107.72,26.27,38.86,65.32,62.18,142.86,92.44,19.77,55.72,32.3,50.56,84.56,33.44,16.76,87.25,101.86,150.5,62.44,243.21,29.31,89.93,76.235,35.7,114.66,125.52,53.59,36.6067,17.21,16.54,58.61,104.63,9.97,44.32,41.94,50.8,56.37,93.39,82.71,223.31,124.93,96.08,68.18,129.05,41.2,70.66,37.74,53.71,65.98,23.39,67.51,57.13,57.19,53.99,77.01,91.2,29.44,33.04,40.39
1496808000000,67.77,66.41,46.37,109.76,11.82,81.99,79.93,211.72,25.77,52.02,41.68,71.53,66.68,115.95,25.21,25.0,21.49,26.18,31.29,24.05,54.71,35.08,53.41,67.82,35.04,41.51,44.85,40.42,33.95,23.65,122.45,88.18,101.22,12.39,97.66,62.29,107.53,173.38,69.52,32.98,104.28,245.25,139.43,135.55,115.16,120.82,138.98,116.83,167.06,79.62,62.81,37.13,20.3,41.58,52.56,120.38,54.8,316.11,37.85,107.92,25.17,38.81,64.76,62.625,143.42,92.53,19.42,55.53,32.1,50.44,84.53,33.39,16.65,87.9,104.25,151.62,62.12,243.66,28.97,90.18,77.025,35.99,114.39,124.92,53.79,37.0067,17.15,14.86,59.005,105.1,9.46,43.4,41.91,50.75,56.4,93.52,83.29,223.68,125.07,96.21,68.18,129.39,41.17,70.83,37.8,53.78,65.05,23.57,67.43,57.31,57.17,54.17,77.22,91.36,29.23,31.68,40.55
1496894400000,68.41,66.46,46.38,109.65,11.73,81.93,79.89,211.86,27.11,52.09,41.93,71.18,66.56,115.78,25.22,24.79,21.59,26.3,31.2,24.18,54.58,35.24,53.34,68.29,34.89,41.44,45.79,40.6,33.34,23.22,121.65,88.25,101.3,12.3,98.25,62.16,107.36,174.89,70.46,32.97,104.54,245.32,139.3,135.62,115.42,120.71,140.88,118.71,168.98,79.49,66.24,37.15,19.23,42.66,54.08,120.17,55.8,318.89,35.91,107.86,25.15,38.88,64.64,62.77,143.57,92.6,19.49,55.52,32.1,50.44,84.51,33.37,16.49,89.06,109.71,154.39,62.04,243.78,28.87,90.29,78.855,36.21,114.27,124.59,55.91,37.1067,16.46,14.74,59.0,105.23,9.43,41.4,41.85,50.7,56.2,93.57,83.09,223.76,125.29,96.31,68.16,129.33,41.25,71.62,37.87,53.94,64.86,23.84,67.65,57.44,56.74,53.72,77.0,90.77,30.2,31.43,40.46
1496980800000,67.85,66.23,46.18,109.56,11.84,81.86,79.86,212.67,28.43,51.75,41.61,70.62,66.31,115.53,25.03,26.61,21.57,26.51,31.28,24.13,54.09,34.78,53.36,67.94,34.24,41.415,47.51,40.24,32.79,22.83,120.54,88.32,101.32,12.2,98.0367,61.86,107.26,175.53,71.04,33.03,105.52,244.94,137.91,135.46,116.37,119.52,141.61,120.35,168.25,80.0,69.53,37.13,18.25,43.88,55.73,120.05,55.05,320.04,34.18,107.75,25.92,38.79,67.88,59.615,139.98,92.88,19.39,55.43,31.72,50.44,84.48,33.42,16.28,85.69,95.88,147.9,62.28,243.41,31.0,90.0,77.655,36.31,114.17,124.4,56.73,34.4233,16.19,14.92,59.68,104.79,9.49,42.56,41.7,50.51,56.0,93.75,83.67,223.5,125.19,97.08,68.04,127.9,40.97,71.35,38.04,54.63,66.42,24.29,67.91,56.02,56.67,53.67,77.52,90.37,30.06,32.61,41.04
1497240000000,67.37,66.11,46.03,109.56,11.84,81.84,79.87,212.4,28.76,51.76,41.39,70.5,66.06,115.52,24.96,27.2,21.55,26.58,31.12,23.9,54.26,34.54,53.59,67.23,33.85,41.095,47.75,39.88,33.56,22.74,120.36,88.47,101.47,12.17,97.7433,61.65,107.24,175.78,70.89,33.15,105.81,244.91,137.5,135.41,116.63,119.15,141.38,120.28,167.84,80.53,64.5,37.23,19.24,43.94,55.7,120.08,54.59,320.38,33.74,107.67,26.06,38.83,68.56,58.955,139.23,93.0,19.42,55.36,31.84,50.6,84.47,33.43,16.04,85.17,94.27,147.05,62.32,243.36,31.53,89.94,76.815,36.34,113.93,124.36,56.5,33.8,16.27,15.02,59.355,104.65,9.52,43.6,41.57,50.32,55.68,93.82,84.42,223.41,125.17,97.27,67.94,127.5,40.82,71.26,38.28,54.42,66.89,24.34,68.16,55.69,56.66,53.57,77.42,90.32,30.17,32.82,41.15
