,0
Altaba,0.02200704
美国航空,0.03182686
Aarons Inc,0.037608124
苹果,0.011178181
Advance Auto Parts Inc,0.0105977105
亚洲ETF-iShares MSCI,0.03096934
美国铝业,0.028727379
AbbVie Inc.,0.014887599
美源伯根,0.027517883
Ambev S.A.,0.40160647
阿比奥梅德,0.00464425
反导工业公司,0.07434945
雅培,0.038153376
巴里克黄金,0.09276438
埃森哲,0.018843038
MSCI全球ETF-iShares,0.043029256
iShares MSCI ACWI ex US ETF,0.06138735
Adobe,0.0074990625
亚德诺,0.024142927
阿彻丹尼尔斯米德兰公司,0.09233612
Automatic Data Processing,0.02712968
欧特克,0.011720581
联合数据,0.012014899
阿美能,0.058139533
伊格尔矿业,0.044762757
美鹰服饰,0.09157509
美国电力,0.05319149
AerCap Holdings N.V.,0.04723665
爱依斯电力,0.32679734
安泰保险,0.011494252
美国家庭寿险,0.068775795
爱科集团,0.034782603
债券指数ETF-iShares Barclays综合国债,0.13755165
美国资本代理公司,0.23041484
艾尔建,0.007390983
美国国际集团,0.06215042
亚瑟加拉格尔有限公司,0.034435265
阿克迈,0.03216468
AK钢铁控股公司,0.13774104
美国雅宝公司,0.0126807
阿莱技术公司,0.004678582
阿拉斯加航空集团有限公司,0.023557127
Allegion PLC,0.03974562
Ally Financial Inc.,0.068027206
好事达,0.025214324
阿尔尼拉姆制药公司,0.008983919
艾里逊变速箱控股公司,0.0522466
奥托立夫,0.017962996
亚力兄制药,0.016286643
应用材料,0.023809524
AMD,0.08438818
阿美特克,0.028851703
安进,0.016498927
艾佛里管理公司,0.011980352
JPMorgan Alerian MLP ETN,0.09891198
Alerian MLP ETF,0.25125632
阿莫斯莱斯金融,0.010607829
亚美利交易,0.028818443
美国电塔,0.01992429
亚马逊,0.0010040766
Andeavor,0.020048117
Andeavor Logistics LP,0.06184291
Arista Networks,0.004234776
Abercrombie & Fitch,0.044111162
安西斯,0.011420742
Anthem Inc,0.0071994243
AutoNation,0.04399472
怡安保险,0.019837335
A.O.史密斯,0.032878518
阿帕契,0.03146633
阿纳达科石油,0.032446463
空气化工,0.026007794
安诺电子,0.026281212
亚历山大房地产,0.022563176
Antero Resources Corp,0.08510638
亚什兰,0.01556178
阿斯麦,0.008145976
雅典娜,0.01668057
ATMOS能源公司,0.045106
Aptar,0.043421626
动视暴雪,0.021734405
阿湾物产,0.023696676
安华高科技,0.0070259254
AveXis,0.005267871
艾利,0.018964538
美国水务,0.04185852
美洲国家水务,0.04928536
美国运通,0.024050023
埃克斯资本,0.046082947
Axalta Coating Systems Ltd.,0.08561645
Acuity Brands Inc,0.006455778
阿斯利康,0.09310985
汽车地带,0.0031884704
安捷伦科技,0.02825657
阿里巴巴,0.007730365
美国银行,0.050403226
百特国际,0.031104198
波音,0.004345181
3B家居,0.030892802
巴西布拉德斯科银行,0.15216996
BB&T银行,0.04248089
百思买,0.020656891
碧迪医疗,0.010293362
富兰克林资源,0.06839946
Berry Plastics Group,0.037622277
布朗霍文,0.047659893
邦吉,0.037993923
贝克休斯,0.02506894
必和必拓,0.03858025
Biglari Holdings,0.005449591
百度,0.009453583
生化基因,0.0071999426
Vanguard Intermediate-Term Bond,0.12820508
PowerShares Senior Loan Portfoli,1.0989013
Booking Holdings,0.001064566
纽约梅隆银行,0.043610997
贝莱德,0.003866079
波尔,0.1217286
bluebird bio Inc.,0.005168226
拜玛林制药,0.042716794
施贵宝,0.035385706
Vanguard Total International Bon,0.4098363
债券指数ETF-Vanguard美国,0.1700681
Box Inc,0.07315289
英国石油,0.06825938
伯克希尔,8.61601e-06
伯克希尔B,0.012906557
Brixmor Property Group Inc.,0.06835271
布罗德里奇,0.018910741
短期国债指数ETF-Vanguard,0.33003312
波士顿科学,0.08503401
英美烟草,0.04701457
百威英博,0.031685673
Burlington Stores Inc,0.011728831
博格华纳,0.037119526
Boardwalk Pipeline Partners,0.11560694
波士顿物产,0.036403336
黑石,0.07552871
宝尊电商,0.0232342
康尼格拉,0.06447454
卡迪纳医药,0.03274394
起司工坊,0.039856512
安飞士,0.036297638
Caseys General Stores,0.026476042
卡特彼勒,0.00994629
联合电脑,0.13404827
西比埃公司,0.03235199
芝加哥期权交易所,0.013322675
世邦魏理仕,0.04616805
CB乡村店,0.022217289
科默斯银行,0.04374913
哥伦比亚广播,0.049776006
丘博保险,0.026357405
冠城,0.03184713
皇冠控股,0.079428114
嘉年华邮轮,0.036656886
Chemours Company,0.019968051
CDK Global,0.03309067
铿腾电子,0.04385965
新基公司,0.016436554
美国塞纳,0.03816794
塞拉尼斯,0.019357337
Citizens Financial Group,0.036630034
库伦佛寺银行,0.015777847
CF实业,0.045392647
康耐视科技,0.018373908
丘奇＆德怀特,0.10111224
Check Cap Ltd,0.030515715
Chegg Inc,0.054112554
Check Point软件科技,0.022573365
切萨皮克能源,0.20040081
罗宾逊物流,0.0317662
Charter Communications,0.0050869877
Ciena科技,0.084961765
辛市金融,0.0636537
信诺保险,0.009494873
克里夫天然资源公司,0.115340255
大陆能源,0.027685493
Clovis Oncology,0.011693171
高乐氏,0.027419796
高露洁,0.07800312
联信银行,0.0152788395
康卡斯特,0.07815553
芝加哥商品交易所,0.01214624
墨式烧烤,0.0042758803
康明斯,0.011598237
CMS能源,0.09784738
Centene Corp,0.016633399
加拿大国家铁路,0.035790984
中点能源,0.105708234
加国自然资源,0.08818342
第一资本,0.022962114
卡伯特油气,0.10706638
Coherent,0.004293135
罗柯,0.017143838
CommScope Holding Company Inc.,0.064432986
Cyrusone Inc.,0.041203137
库珀医疗,0.009738996
康菲石油,0.038446747
好市多,0.017646022
科蒂,0.061614297
康宝浓汤,0.03739716
科帕特,0.031887755
加拿大太平洋铁路,0.015852887
克里科技,0.04638219
卡特,0.024271846
Salesforce,0.016949153
凌云半导体,0.027685491
思科,0.053078562
科斯塔,0.0050800103
iShares Barclays 1-3 Year Cred,0.40160555
卡莱尔伙伴,0.039698288
CSX运输,0.028184893
信达思,0.0110156415
库珀轮胎与橡胶,0.057142865
世纪电信,0.054288823
携程网,0.046189383
高知特,0.027027028
思杰系统,0.03489184
CubeSmart,0.101626016
CVS健康,0.02273244
雪佛龙,0.025419418
SPDR Barclays Convertible Securi,0.09165903
California Water Service Group,0.052273918
康休,0.016520731
西麦斯,0.21709868
赛普拉斯半导体,0.09615384
凯撒娱乐,0.12820514
花旗,0.025138259
达美航空,0.040273864
达纳,0.041476566
Tableau Software Inc,0.022461815
DCT工业信托,0.045310378
帝亚吉欧,0.021910606
迪尔股份有限公司,0.010506408
发现金融,0.03194888
三倍做空天然气ETN(VelocityShares),0.009803922
奎斯特诊疗,0.024172103
美国达乐公司,0.02675943
霍顿房屋,0.039666798
丹纳赫,0.03617945
道琼斯指数ETF,0.010851871
探索传播,0.078431375
Discovery Communications,0.075414784
DISH Network Corporation,0.031908106
迪士尼,0.041152272
迪克体育用品,0.027746947
Delek US Holdings,0.028768701
Digital Realty Trust Inc,0.026860062
Dollar Tree,0.020479213
唐恩都乐,0.038669758
美国都福集团,0.023736054
澎泉,0.026021337
达美乐比萨,0.0077453335
杜克房地产,0.12771392
达登饭店,0.026232949
DTE能源,0.033647373
杜克能源,0.06464124
三倍做空黄金矿业指数ETF-Direxion,0.006259389
达维塔保健,0.04098361
德文能源,0.045045048
陶氏杜邦,0.036205653
德康医疗,0.020263424
日本股利指数ETF-WisdomTree,0.041050903
道明尼资源,0.04768716
布林克国际,0.040783033
电子艺界,0.014999249
eBay,0.047236655
加拿大能源,0.12437812
艺康集团,0.026301943
新东方,0.0142633
爱迪生联合电气,0.05157298
嘉银通,0.035186492
新兴市场ETF-iShares MSCI,0.05032712
iShares Edge MSCI Min Vol EAFE ETF,0.064184844
欧澳远东指数 ETF-iShares MSCI,0.046317738
艾可菲,0.01906578
爱内珍,0.02962963
Encompass Health Corporation,0.038255546
爱迪生国际,0.043029256
Ellie Mae,0.026888946
雅诗兰黛,0.013439054
iShares JPMorgan USD Emerging Markets Bond ETF,0.10905127
伊士曼化工,0.021949077
艾默生电气,0.04058441
安桥,0.06788866
依欧格资源,0.021872265
Enterprise Products Partners L.P,0.17985608
印度收入指数ETF-WisdomTree,0.094696976
易昆尼克斯,0.006027728
资产住宅公司,0.052056223
EQT corp,0.029761903
三倍做多能源ETF-Direxion,0.04791567
快捷药方,0.041356493
埃塞克斯信托,0.016691707
恩斯克,0.13020834
Eversource Energy,0.07272727
亿创,0.02617116
伊顿,0.035137035
安特吉,0.05104646
Envision Healthcare Holdings,0.01907305
永核伙伴,0.01756543
澳大利亚ETF-iShares MSCI,0.18146181
华美,0.0272257
加拿大ETF-iShares MSCI,0.13793103
德国ETF-iShares MSCI,0.08298755
香港ETF-iShares MSCI,0.12345678
日本ETF-iShares MSCI,0.049627796
台湾ETF-iShares MSCI,0.06920416
墨西哥投资指数ETF-iShares MSCI,0.066755675
韩国ETF-iShares MSCI,0.0333667
巴西ETF-iShares MSCI,0.04618937
爱德华兹,0.016952027
精密科学,0.018248176
爱克斯龙,0.08453084
康捷国际物流,0.051020402
Expedia,0.017319016
Extra Space Storage Inc,0.042480882
欧盟国家ETF-iShares MSCI,0.061690312
Diamondback Energy,0.018737117
美国快克公司,0.04995005
金融指数ETF-Direxion三倍做多罗素金融股,0.017143836
Fortune Brands Home & Security,0.049480457
Facebook,0.012400794
菲亚特-克莱斯特汽车公司,0.053504553
Forest City Enterprises Inc.,0.13586955
第一富金融服务,0.023612753
FTI咨询,0.042283297
麦克莫兰铜金,0.094073385
First Data Corp,0.11990407
联邦快递,0.008080808
SPDR DJ EURO STOXX 50 Fund,0.06968642
第一能源公司,0.120919004
F5网络,0.0153303705
联邦投资,0.08650521
费哲金融服务,0.039432175
繁德信息技术,0.02483855
五三银行,0.05583473
Fitbit Inc.,0.0742942
Five Below,0.02518892
伟创力国际,0.12755102
菲利尔系统,0.039339103
iShares Floating Rate Note Fund,1.4705876
福陆,0.041911148
福斯,0.0735294
FleetCor科技,0.012717792
富乐客,0.020725388
FMC Corp.,0.01650165
Fomento Economico Mexicano S.A.B,0.03548616
Financial Engines,0.050632913
21世纪福克斯公司,0.065616794
21世纪福克斯公司,0.07042254
First Republic Bank San Francisc,0.024673082
FRT信托,0.016725207
第一工业地产,0.09416195
第一太阳能,0.019550342
FMC Technologies Inc,0.087412566
飞塔信息,0.0349406
中国大盘股ETF-iShares,0.04393673
福特汽车,0.29069763
Godaddy Inc.,0.028546961
小型黄金矿业ETF(Market Vectors),0.041476563
黄金矿业ETF(Market Vectors),0.08354219
通用动力,0.009913751
通用电气,0.050454088
General Growth Properties Inc,0.07782101
Goldcorp Inc,0.12210013
吉利德科学,0.026448032
通用磨坊,0.034423407
SPDR黄金ETF,0.044267368
康宁,0.061652284
通用汽车,0.057045065
谷歌A,0.0019906042
谷歌,0.001997523
Genuine Parts Co,0.03849114
Graphic Packaging Holding,0.23041473
环汇有限公司,0.017289072
盖璞,0.058038313
格雷斯事务所,0.053966533
GrubHub Inc,0.011373976
葛兰素史克,0.099206366
高盛,0.007757351
固特异轮胎橡胶公司,0.089766614
杰纳西及怀俄明,0.037636437
美国固安捷,0.007754342
哈里伯顿,0.0432526
孩之宝,0.025131946
杭庭顿控股,0.1267427
哈尼斯品牌服装,0.084602356
HCA控股,0.02913753
HCP房产信托,0.056721494
HD Supply Holdings Inc.,0.07220215
家得宝,0.011584802
Wisdomtree Europe Hedged Equity,0.052438386
